t:treatment,c:age,c:education,c:black,c:hispanic,c:married,c:nodegree,c:RE75,o:RE78
True,37,11,True,False,True,True,0.0,9930.046
True,22,9,False,True,False,True,0.0,3595.894
True,30,12,True,False,False,False,0.0,24909.45
True,27,11,True,False,False,True,0.0,7506.146
True,33,8,True,False,False,True,0.0,289.7899
True,22,9,True,False,False,True,0.0,4056.494
True,23,12,True,False,False,False,0.0,0.0
True,32,11,True,False,False,True,0.0,8472.158
True,22,16,True,False,False,False,0.0,2164.022
True,33,12,False,False,True,False,0.0,12418.07
True,19,9,True,False,False,True,0.0,8173.908
True,21,13,True,False,False,False,0.0,17094.64
True,18,8,True,False,False,True,0.0,0.0
True,27,10,True,False,True,True,0.0,18739.93
True,17,7,True,False,False,True,0.0,3023.879
True,19,10,True,False,False,True,0.0,3228.503
True,27,13,True,False,False,False,0.0,14581.86
True,23,10,True,False,False,True,0.0,7693.4
True,40,12,True,False,False,False,0.0,10804.32
True,26,12,True,False,False,False,0.0,10747.35
True,23,11,True,False,False,True,0.0,0.0
True,41,14,False,False,False,False,0.0,5149.501
True,38,9,False,False,False,True,0.0,6408.95
True,24,11,True,False,False,True,0.0,1991.4
True,33,11,True,False,False,True,7867.916,6281.433
True,18,10,True,False,False,True,0.0,11163.17
True,29,11,True,False,True,True,0.0,9642.999
True,25,11,True,False,False,True,0.0,9897.049
True,27,10,False,True,False,True,0.0,11142.87
True,17,10,True,False,False,True,0.0,16218.04
True,24,11,True,False,False,True,0.0,995.7002
True,17,10,True,False,False,True,0.0,0.0
True,26,11,True,False,True,True,2754.646,26372.28
True,48,4,True,False,False,True,0.0,6551.592
True,25,11,True,False,True,True,0.0,1574.424
True,20,12,True,False,False,False,0.0,0.0
True,25,12,True,False,False,False,0.0,3191.753
True,42,14,True,False,False,False,0.0,20505.93
True,25,5,True,False,False,True,0.0,6181.88
True,23,12,True,False,True,False,0.0,5911.551
True,46,8,True,False,True,True,0.0,3094.156
True,24,10,True,False,False,True,0.0,0.0
True,21,12,True,False,False,False,0.0,1254.582
True,19,9,False,False,False,True,0.0,13188.83
True,17,8,True,False,False,True,0.0,8061.485
True,18,8,False,True,True,True,0.0,2787.96
True,20,11,True,False,False,True,0.0,3972.54
True,25,11,True,False,True,True,0.0,0.0
True,17,8,True,False,False,True,0.0,0.0
True,17,9,True,False,False,True,0.0,0.0
True,25,5,True,False,False,True,0.0,12187.41
True,23,12,True,False,False,False,0.0,4843.176
True,28,8,True,False,False,True,0.0,0.0
True,31,11,True,False,True,True,0.0,8087.487
True,18,11,True,False,False,True,0.0,0.0
True,25,12,True,False,False,False,0.0,2348.973
True,30,11,True,False,True,True,0.0,590.7818
True,17,10,True,False,False,True,0.0,0.0
True,37,9,True,False,False,True,0.0,1067.506
True,41,4,True,False,True,True,0.0,7284.986
True,42,14,True,False,True,False,0.0,13167.52
True,22,11,False,False,False,True,0.0,1048.432
True,17,8,True,False,False,True,0.0,0.0
True,29,8,True,False,False,True,0.0,1923.938
True,28,10,True,False,False,True,2836.506,3196.571
True,35,10,True,False,False,True,0.0,4666.236
True,27,11,True,False,False,True,0.0,549.2984
True,29,4,True,False,False,True,0.0,762.9146
True,28,9,True,False,False,True,0.0,10694.29
True,27,11,True,False,False,True,0.0,0.0
True,23,7,False,False,False,True,0.0,0.0
True,45,5,True,False,True,True,0.0,8546.715
True,29,13,True,False,False,False,0.0,7479.656
True,27,9,True,False,False,True,0.0,0.0
True,46,13,True,False,False,False,0.0,647.2046
True,18,6,True,False,False,True,0.0,0.0
True,25,12,True,False,False,False,0.0,11965.81
True,28,15,True,False,False,False,0.0,9598.541
True,31,9,True,False,False,True,1698.607,10363.27
True,25,11,False,False,False,True,0.0,18783.35
True,22,12,True,False,False,False,0.0,18678.08
True,28,11,True,False,False,True,1284.079,60307.93
True,21,9,True,False,False,True,0.0,0.0
True,40,11,True,False,False,True,0.0,23005.6
True,22,11,True,False,False,True,0.0,6456.697
True,25,12,True,False,False,False,0.0,0.0
True,27,9,True,False,True,True,934.4454,1773.423
True,23,10,True,False,True,True,936.4386,11233.26
True,29,10,True,False,False,True,4398.95,0.0
True,18,12,True,False,False,False,0.0,2321.107
True,38,12,False,False,False,False,0.0,4941.849
